URL,KEYWORDS,IMK
https://bhuvan.nrsc.gov.in,Bhuvan-Logo; NRSC-Logo; NRSC-Logo; Home; NRSC; Application Sectors; Bhuvan Collaborators; Search; Bhuvan Store; Contact Us; Newsletter; WIKI; Bhuvan Genesis; Bhuvan Overview Training 2024  New     Flood Inundation at Godavari and Sabari confluence (09-07-2023 to 06-08-2023) New     ISRO Geosphere-Biosphere Programme (IGBP) Above Ground Biomass(AGB) Data New     Pocket Bhuvan enhanced with voice guided navigation New     Explore Bhuvan 2D 2.0  New     First census of water bodies under the Scheme Irrigation Census New     Release of Night Time Light (NTL) portal and Atlas to explore the decadal change of night time light over India from Space (2012-2021)    Release of MyBhuvan Application    Release of Bhuvan -Timelapse Application    Download AET Product on Bhuvan NHP Portal    Visualize Urban Water Body Information System on Bhuvan Portal    Bhuvan Overview Training 2024  New    Flood Inundation at Godavari and Sabari confluence (09-07-2023 to 06-08-2023) New    ISRO Geosphere-Biosphere Programme (IGBP) Above Ground Biomass(AGB) Data New    Pocket Bhuvan enhanced with voice guided navigation New    Explore Bhuvan 2D 2.0  New    First census of water bodies under the Scheme Irrigation Census New    Release of Night Time Light (NTL) portal and Atlas to explore the decadal change of night time light over India from Space (2012-2021)   Release of MyBhuvan Application   Release of Bhuvan -Timelapse Application   Download AET Product on Bhuvan NHP Portal   Visualize Urban Water Body Information System on Bhuvan Portal; Visualisation & Free Download; Collaborative applications - Platform to share your data and create governance applications; Bhuvan-2D; Bhuvan 2D; Bhuvan-3D; Bhuvan 3D; Bhuvan-Lite; Bhuvan Lite; Bhuvan-Open Data Archive; Open; Data Archive; Bhuvan-Climate & Environment; Climate & Environment; Bhoonidhi VISTA; Bhoonidhi VISTA; Application Sectors; Collaborative applications - Platform to share your data and create governance applications; Maps & OGC Services; Collaborative applications - Platform to share your data and create governance applications; Bhuvan-2D; Thematic Services; Bhuvan-3D; Ocean Services; Bhuvan-Open Data Archive; Disaster Management Services; Bhuvan-Climate & Environment; Create a Map; My Map | My GIS; Bhuvan Central Applications; Collaborative applications - Platform to share your data and create governance applications; Central Ministries Applications; Central Ministries; special Applications; Special Applications; g governance Dashboard; G Governance Dashboard; State wise Applications; State Wise Applications; Bhuvan Geoportal Statistics; Daily/Monthly Statistics; Useful Links; Discussion Forum; Terms; Bhuvan User; Handbook and Others; Search; Web Information Manager; Bhuvan Geo Portal & Web Services Group (BGWSG); National Remote Sensing Centre; Indian Space Research Organisation; Government of India,"['Sectors', 'Search', 'confluence', 'voice', 'navigation', 'census', 'water', 'bodies', 'decadal', 'change', 'night', 'time', 'light', 'Product', 'confluence', 'voice', 'navigation', 'census', 'water', 'bodies', 'decadal', 'change', 'night', 'time', 'light', 'Product', 'applications', 'Platform', 'data', 'governance', 'applications', '3D', 'Sectors', 'applications', 'Platform', 'data', 'governance', 'applications', 'applications', 'Platform', 'data', 'governance', 'applications', '|', 'applications', 'Platform', 'data', 'governance', 'applications', 'governance', 'Links', 'Terms', 'Search']"
https://bhuvan-app3.nrsc.gov.in/aadhaar/,Bhuvan - Aadhaar Centers; Tools; Home; Centers Nearby; Enter City or Location (ex:chennai or Birla temple); Search by PIN Code; State-wise Aadhaar Centers; Search by Aadhaar Center; Data Disclaimer: Authenticity and validation of the location is in progress. BHUVAN portal and ISRO is not responsible for its authenticity. The database is meant for visualization and indicative purpose only and cannot be used for any legal purpose.,"['ex', 'Search', 'State', 'Search', 'Authenticity', 'validation', 'location', 'progress', 'authenticity', 'database', 'visualization', 'purpose', 'purpose']"
https://bhuvan-app2.nrsc.gov.in/mgnrega/mgnrega_phase2.php,"Bhuvan-MGNREGA; Ministry of Rural Development; Enter City or Lat,Lon(ex:chennai or 13.2,80.3); Field Data Viewer; Stage; Financial year; State; District; Block; Panchayat; Category; Sub-Category; Request to become NREGA user; Statistics; Search By Work Code; GeoMGNREGA planning portal; GeoMGNREGA Grid Based Spatial Analytics; National Summary of Accepted Geotags; Phase I : 39280892; Phase II Before, During & After (BDA):; Stage 1 (Before) : 39867138; Stage 2 (During): 27958513; Stage 3 (After): 18034775; 2023-2024; 2022-2023; 2021-2022; 2020-2021; 2019-2020; 2018-2019; 2017-2018; 2016-2017; 2015-2016; 2014-2015; 2013-2014; 2012-2013; 2011-2012; 2010-2011; 2009-2010; 2008-2009; 2007-2008; 2006-2007; Andhra Pradesh; Arunachal Pradesh; Assam; Bihar; Chhattisgarh; Goa; Gujarat; Haryana; Himachal Pradesh; Jharkhand; Karnataka; Kerala; Maharashtra; Madhya Pradesh; Manipur; Meghalaya; Mizoram; Nagaland; Odisha; Punjab; Rajasthan; Sikkim; Tamil Nadu; Tripura; Telangana; Uttar Pradesh; Uttarakhand; West Bengal; Andaman & Nicobar (UT); Chandigarh (UT); Dadra & Nagar Haveli and Daman & Diu (UT); Delhi [National Capital Territory (NCT)]; Jammu & Kashmir (UT); Ladakh (UT); Lakshadweep (UT); Puducherry (UT); MGNREGA; MGNREGA Data; This is an article about the Indian Space Research Organisation’s (ISRO) Geoportal. It discusses various applications of the Geoportal, including Bhuvan-MGNREGA. The Geoportal provides tools and resources for users to explore and analyze geospatial data. Some of the important points are that the Geoportal includes data from satellites, hydrology, and infrastructure. Users can also add their own layers of data.","['Stage', 'year', 'Request', 'user', 'Statistics', 'planning', 'Stage', 'Stage', 'Stage', 'article', 'applications', 'tools', 'resources', 'users', 'data', 'points', 'data', 'satellites', 'hydrology', 'infrastructure', 'Users', 'layers', 'data']"
https://bhuvan-app1.nrsc.gov.in/bhuvan2d/bhuvan/bhuvan2d.php,This is an article about the Indian Space Research Organisation’s (ISRO) Geoportal. It discusses geospatial data and its applications. The article also provides links to tools and resources for using the Geoportal. Some of the important points are that the Geoportal is a gateway to Indian Earth Observation data and that it provides tools for viewing and analyzing this data.,"['article', 'data', 'applications', 'article', 'links', 'tools', 'resources', 'points', 'gateway', 'data', 'tools', 'data']"
https://bhuvan.nrsc.gov.in/home/index.php,"Bhuvan, the geospatial platform developed by the Indian Space Research Organisation (ISRO), has seen significant developments recently. Notable releases include the Overview Training 2024, Flood Inundation data at the Godavari and Sabari confluence, and the ISRO Geosphere-Biosphere Programme providing Above Ground Biomass(AGB) data. The introduction of Pocket Bhuvan with voice-guided navigation and Explore Bhuvan 2D 2.0 enhances user experience. Additionally, the platform highlights its commitment to environmental monitoring with initiatives like the First Census of water bodies under the Irrigation Census scheme and the release of Night Time Light (NTL) portal and Atlas for exploring decadal changes in night time light over India from space (2012-2021). Bhuvan also extends its reach with applications like MyBhuvan, Bhuvan -Timelapse, and AET Product on Bhuvan NHP Portal. The inclusion of Urban Water Body Information System visualization further underscores its utility. Collaborative applications offer a platform for sharing data and creating governance applications. Various Bhuvan versions, including 2D, 3D, Lite, Open Data Archive, Climate & Environment, and Bhoonidhi VISTA, cater to diverse user needs.","['platform', 'developments', 'releases', 'Training', 'data', 'confluence', 'data', 'introduction', 'voice', 'navigation', 'enhances', 'user', 'experience', 'platform', 'commitment', 'monitoring', 'initiatives', 'water', 'bodies', 'scheme', 'release', 'decadal', 'changes', 'night', 'time', 'light', 'space', 'reach', 'applications', '-Timelapse', 'Product', 'inclusion', 'visualization', 'utility', 'applications', 'platform', 'data', 'governance', 'applications', 'versions', 'user', 'needs']"
https://bhuvan-app1.nrsc.gov.in/api/,"Contains a list of all available Bhuvan APIs that can be freely used by the public. Some of these APIs are village geocoding, village reverse geocoding, various LULC statistics, shortest path API,ellipsoid to geoid conversion API. All of these APIs are freely available once the user has keys or tokens after logging in with their account or making a new one for the Bhuvan portal","['list', 'APIs', 'public', 'APIs', 'village', 'geocoding', 'village', 'reverse', 'geocoding', 'LULC', 'statistics', 'path', 'conversion', 'API', 'APIs', 'user', 'keys', 'tokens', 'account', 'one', 'portal']"
https://bhuvan-app1.nrsc.gov.in/hfa/housing_for_all.php,"The Ministry of Housing and Urban Affairs is actively engaged in the Housing for All initiative, also known as PMAY. Upon logging in, users are welcomed with a prompt to enter either the city name or latitude and longitude coordinates. The available tools include the Field Data Viewer, facilitating access to crucial information. Users can filter data by state, district, and city, ensuring a comprehensive view of housing-related details nationwide. The Image Gallery provides a visual representation of relevant data. The option to search by beneficiary ID offers a targeted approach to retrieving specific information. The interface design allows users to toggle the left panel for a cleaner view. With a geographic scope of 500 km on Bhuvan, the platform empowers users to access and analyze significant housing and urban affairs data efficiently.","['initiative', 'users', 'prompt', 'city', 'name', 'latitude', 'longitude', 'coordinates', 'tools', 'access', 'information', 'Users', 'data', 'state', 'district', 'city', 'view', 'housing', 'details', 'representation', 'data', 'option', 'beneficiary', 'approach', 'information', 'interface', 'design', 'users', 'panel', 'view', 'scope', 'km', 'platform', 'users', 'housing', 'affairs', 'data']"
https://bhuvan-app1.nrsc.gov.in/apshcl,"The A.P. State Housing Corporation provides a user-friendly interface upon login, prompting users to input city names or latitude and longitude coordinates. The available tools include the Field Data Viewer, facilitating efficient access to relevant information. Users can filter data based on district, mandal, village, observer ID, and specific project stages. The option to search by beneficiary ID allows for targeted inquiries. The platform also features Base Admin and Base Hydrology sections for comprehensive data management. With a geographic scope of 100 km on Bhuvan, users can analyze housing-related data efficiently. The Discussion Forum and Contact options provide avenues for communication and support. Toggling the left panel allows for a customized view of the interface. The platform emphasizes user engagement and accessibility, ensuring a seamless experience for individuals involved in housing-related initiatives.","['user', 'interface', 'login', 'users', 'city', 'names', 'latitude', 'longitude', 'coordinates', 'tools', 'access', 'information', 'Users', 'data', 'village', 'observer', 'project', 'stages', 'option', 'beneficiary', 'inquiries', 'platform', 'sections', 'data', 'management', 'scope', 'km', 'users', 'housing', 'data', 'Contact', 'options', 'avenues', 'communication', 'support', 'panel', 'view', 'interface', 'platform', 'user', 'engagement', 'accessibility', 'experience', 'individuals', 'housing', 'initiatives']"
https://bhuvan-app1.nrsc.gov.in/ntr,"The ""Search Hospital"" feature allows users to find healthcare facilities by entering a city name or latitude and longitude coordinates, with the option to set a proximity range in kilometers. The user can customize the search profile by selecting ""All"" for a comprehensive view. Additionally, the scheme filter ensures that users can specifically target healthcare facilities associated with a particular scheme. State-wise hospital information is available, and users can easily get directions and assess proximity to the desired healthcare institutions. The Bhuvan platform enhances the accessibility of healthcare-related data, offering a user-friendly interface for efficient navigation and exploration.","['feature', 'users', 'healthcare', 'facilities', 'city', 'name', 'latitude', 'longitude', 'coordinates', 'option', 'proximity', 'range', 'kilometers', 'user', 'search', 'profile', 'view', 'scheme', 'filter', 'users', 'healthcare', 'facilities', 'scheme', 'State', 'hospital', 'information', 'users', 'directions', 'proximity', 'healthcare', 'institutions', 'platform', 'accessibility', 'healthcare', 'data', 'user', 'interface', 'navigation', 'exploration']"
https://bhuvan.nrsc.gov.in/forum,"The page you linked to appears to be a discussion forum called Bhuvan Discussion Forum, but there are currently no forums on the board. It seems the forum is not very active, with the most users ever online being 36 on December 20, 2018. As of right now, there are only 2 users online, 1 registered and 1 guest.","['page', 'discussion', 'forum', 'forums', 'board', 'forum', 'users', 'users', 'guest']"
